tf.Tensor(14.869047, shape=(), dtype=float32)
tf.Tensor(14.810072, shape=(), dtype=float32)
tf.Tensor(14.823599, shape=(), dtype=float32)
tf.Tensor(14.763411, shape=(), dtype=float32)
tf.Tensor(14.743958, shape=(), dtype=float32)
tf.Tensor(14.704223, shape=(), dtype=float32)
tf.Tensor(14.680925, shape=(), dtype=float32)
tf.Tensor(14.645021, shape=(), dtype=float32)
tf.Tensor(14.611132, shape=(), dtype=float32)
tf.Tensor(14.574383, shape=(), dtype=float32)
tf.Tensor(14.541397, shape=(), dtype=float32)
tf.Tensor(14.5149765, shape=(), dtype=float32)
tf.Tensor(14.496462, shape=(), dtype=float32)
tf.Tensor(14.446735, shape=(), dtype=float32)
tf.Tensor(14.42658, shape=(), dtype=float32)
tf.Tensor(14.388725, shape=(), dtype=float32)
tf.Tensor(14.344964, shape=(), dtype=float32)
tf.Tensor(14.351264, shape=(), dtype=float32)
tf.Tensor(14.312958, shape=(), dtype=float32)
tf.Tensor(14.268496, shape=(), dtype=float32)
tf.Tensor(14.231278, shape=(), dtype=float32)
tf.Tensor(14.200217, shape=(), dtype=float32)
tf.Tensor(14.186989, shape=(), dtype=float32)
tf.Tensor(14.161264, shape=(), dtype=float32)
tf.Tensor(14.121859, shape=(), dtype=float32)
tf.Tensor(14.092983, shape=(), dtype=float32)
tf.Tensor(14.060374, shape=(), dtype=float32)
tf.Tensor(14.050503, shape=(), dtype=float32)
tf.Tensor(14.009034, shape=(), dtype=float32)
tf.Tensor(13.967269, shape=(), dtype=float32)
tf.Tensor(13.961956, shape=(), dtype=float32)
tf.Tensor(13.924588, shape=(), dtype=float32)
tf.Tensor(13.895694, shape=(), dtype=float32)
tf.Tensor(13.882047, shape=(), dtype=float32)
tf.Tensor(13.864697, shape=(), dtype=float32)
tf.Tensor(13.818482, shape=(), dtype=float32)
tf.Tensor(13.796589, shape=(), dtype=float32)
tf.Tensor(13.793775, shape=(), dtype=float32)
tf.Tensor(13.721187, shape=(), dtype=float32)
tf.Tensor(13.741086, shape=(), dtype=float32)
tf.Tensor(13.714954, shape=(), dtype=float32)
tf.Tensor(13.647951, shape=(), dtype=float32)
tf.Tensor(13.656981, shape=(), dtype=float32)
tf.Tensor(13.596913, shape=(), dtype=float32)
tf.Tensor(13.59459, shape=(), dtype=float32)
tf.Tensor(13.539971, shape=(), dtype=float32)
tf.Tensor(13.538089, shape=(), dtype=float32)
tf.Tensor(13.493332, shape=(), dtype=float32)
tf.Tensor(13.505536, shape=(), dtype=float32)
tf.Tensor(13.471874, shape=(), dtype=float32)
tf.Tensor(13.440614, shape=(), dtype=float32)
tf.Tensor(13.4293375, shape=(), dtype=float32)
tf.Tensor(13.364026, shape=(), dtype=float32)
tf.Tensor(13.338977, shape=(), dtype=float32)
tf.Tensor(13.337747, shape=(), dtype=float32)
tf.Tensor(13.3384, shape=(), dtype=float32)
tf.Tensor(13.290173, shape=(), dtype=float32)
tf.Tensor(13.270103, shape=(), dtype=float32)
tf.Tensor(13.259827, shape=(), dtype=float32)
tf.Tensor(13.219229, shape=(), dtype=float32)
tf.Tensor(13.1897335, shape=(), dtype=float32)
tf.Tensor(13.184296, shape=(), dtype=float32)
tf.Tensor(13.155014, shape=(), dtype=float32)
tf.Tensor(13.138992, shape=(), dtype=float32)
tf.Tensor(13.0998, shape=(), dtype=float32)
